"district","first","last","id","affiliation","user_id","screen_name","chamber"
"FL-09","Alan","Grayson","1209","2","41017380","AlanGrayson","0"
"FL-04","Ander","Crenshaw","1204","1","20209807","AnderCrenshaw","0"
"AZ-01","Ann","Kirkpatrick","401","2","272004287","Ann_Kirkpatrick","0"
"CA-11","George","Miller","611","2","7356562","askgeorge","0"
"MO-07","Billy","Long","2907","1","21572351","auctnr1","0"
"GA-08","Austin","Scott","1308","1","234797704","AustinScottGA08","0"
"AL-06","Spencer","Bachus","106","1","78431501","BachusAL06","0"
"KY-06","Andy","Barr","2106","1","115186195","barrforcongress","0"
"MS-02","Bennie","Thompson","2802","2","82453460","BennieGThompson","0"
"TX-16","Beto","O'Rourke","4816","2","342863309","BetoORourke","0"
"MN-04","Betty","McCollum","2704","2","516880804","BettyMcCollum04","0"
"LA-06","Bill","Cassidy","2206","1","55677432","BillCassidy","0"
"NY-21","Bill","Owens","3621","2","227088228","BillOwensNY","0"
"NJ-09","Bill","Pascrell","3409","2","74508260","BillPascrell","0"
"OH-05","Bob","Latta","3905","1","15394954","boblatta","0"
"CA-30","Brad","Sherman","630","2","30216513","BradSherman","0"
"OH-02","Brad","Wenstrup","3902","1","313719282","bradwenstrup","0"
"IA-01","Bruce","Braley","1901","2","29293808","BruceBraley","0"
"CA-25","Buck","McKeon","625","1","16348437","BuckMcKeon","0"
"MD-02","Dutch","Ruppersberger","2402","2","305620929","Call_Me_Dutch","0"
"MI-10","Candice","Miller","2610","1","15281676","CandiceMiller","0"
"NY-04","Carolyn","McCarthy","3604","2","270067927","carolynmccarthy","0"
"PA-17","Matt","Cartwright","4217","2","472315803","CartwrightPA","0"
"TX-20","Joaquin","Castro","4820","2","323440720","Castro4Congress","0"
"WA-05","Cathy","McMorris Rodgers","5305","1","17976923","cathymcmorris","0"
"NY-13","Charlie","Rangel","3613","2","21312077","cbrangel","0"
"PA-02","Chaka","Fattah","4202","2","48086014","chakafattah","0"
"ME-01","Chellie","Pingree","2301","2","14984637","chelliepingree","0"
"UT-02","Chris","Stewart","4902","1","395419988","ChrisStewart4UT","0"
"MD-08","Chris","Van Hollen","2408","2","18137749","ChrisVanHollen","0"
"SC-06","James","Clyburn","4506","2","188019606","Clyburn","0"
"NY-27","Chris","Collins","3627","1","557794383","collinsNY27","0"
"TX-11","Mike","Conaway","4811","1","295685416","ConawayTX11","0"
"FL-08","Bill","Posey","1208","1","25086658","congbillposey","0"
"TX-07","John","Culberson","4807","1","24183358","CongCulberson","0"
"KS-01","Tim","Huelskamp","2001","1","233761277","CongHuelskamp","0"
"ID-02","Mike","Simpson","1602","1","76132891","CongMikeSimpson","0"
"MS-04","Steven","Palazzo","2804","1","299883942","CongPalazzo","0"
"MI-01","Dan","Benishek","2601","1","242761889","CongressmanDan","0"
